TRAVEL_ID,TRAVEL_NM,TRAVELER_ID,TRAVEL_PURPOSE,TRAVEL_START_YMD,TRAVEL_END_YMD,MVMN_NM,TRAVEL_PERSONA,TRAVEL_MISSION,TRAVEL_MISSION_CHECK
d_d003548,D01,d003548,21;22;24;27;,2022-10-06,2022-10-08,대중교통 등,,21;22;24;27;,21;1;22
a_a002787,D02,a002787,21;22;24;27;,2022-09-28,2022-10-01,자가용,,21;22;24;27;,22;21;24
d_d012360,D01,d012360,1;11;22;,2022-11-09,2022-11-10,,,1;11;22;,1;22;4
d_d012325,D01,d012325,1;4;6;13;21;22;24;26;,2022-11-11,2022-11-12,,,1;4;6;13;21;22;24;26;,23;21;24
d_d003111,D01,d003111,11;22;23;6;8;,2022-10-22,2022-10-24,자가용,,11;22;23;6;8;,23;11;21
d_d005408,D01,d005408,2;5;6;3;22;1;,2022-10-29,2022-11-01,자가용,,2;5;6;3;22;1;,5;6;1
d_d001892,D01,d001892,11;2;23;5;6;,2022-10-06,2022-10-10,대중교통 등,39세 이하 자녀 동반 여행,11;2;23;5;6;,2;6;11
b_b003032,D02,b003032,2;22;23;,2022-08-20,2022-08-23,자가용,,2;22;23;,2;23;22
d_d001428,D01,d001428,22;23;26;27;28;,2022-09-14,2022-09-17,대중교통 등,,22;23;26;27;28;,22;23;26
d_d004535,D01,d004535,1;13;21;6;7;,2022-10-24,2022-10-27,자가용,,1;13;21;6;7;,6;23;13
a_a001558,D02,a001558,22;23;4;6;,2022-08-29,2022-09-01,대중교통 등,,22;23;4;6;,23;4;6
d_d009696,D01,d009696,1;2;3;4;6;,2022-11-01,2022-11-06,대중교통 등,,1;2;3;4;6;,1;6;3
d_d012396,D01,d012396,22;26;3;,2022-11-13,2022-11-14,,,22;26;3;,3;6;26
d_d002554,D01,d002554,1;2;3;4;9;,2022-10-17,2022-10-23,대중교통 등,39세 이하 커플 여행,1;2;3;4;9;,25;12;1
d_d005800,D01,d005800,11;2;6;,2022-10-13,2022-10-16,자가용,39세 이하 부모 동반 여행,11;2;6;,6;11;2
b_b007077,D02,b007077,11;21;3;4;6;,2022-10-23,2022-10-24,자가용,,11;21;3;4;6;,2;11;4
d_d012295,D01,d012295,21;26;6;,2022-11-12,2022-11-13,,,21;26;6;,21;26;24
d_d002853,D01,d002853,2;21;22;24;26;,2022-10-10,2022-10-13,자가용,,2;21;22;24;26;,2;26;22
a_a004814,D02,a004814,21;22;24;26;28;,2022-10-09,2022-10-10,자가용,,21;22;24;26;28;,24;21;22
d_d000437,D01,d000437,1;13;2;22;28;,2022-08-23,2022-08-31,대중교통 등,39세 이하 커플 여행,1;13;2;22;28;,2;5;22
d_d002571,D01,d002571,1;12;13;21;4;,2022-10-23,2022-10-26,자가용,40세 이상 부부 여행,1;12;13;21;4;,13;11;21
d_d000781,D01,d000781,12;23;,2022-08-25,2022-08-30,자가용,,12;23;,12;23;2
d_d003990,D01,d003990,22;26;9;,2022-10-16,2022-10-17,자가용,,22;26;9;,22;26;28
d_d000029,D01,d000029,21;22;24;27;5;,2022-08-25,2022-08-29,자가용,,2;,5;22;26
d_d011394,D01,d011394,2;1;7;6;5;11;22;9;28;23;24;,2022-11-03,2022-11-08,자가용,,2;1;7;6;5;11;22;9;28;23;24;,2;6;5
d_d000379,D01,d000379,21;23;24;28;,2022-08-27,2022-08-30,대중교통 등,,21;23;24;28;,21;24;23
c_c009359,D02,c009359,11;24;28;,2022-10-29,2022-10-30,,,11;24;28;,24;28;1
d_d009756,D01,d009756,10;2;3;5;6;,2022-11-03,2022-11-08,대중교통 등,,10;2;3;5;6;,10;27;22
d_d003245,D01,d003245,12;21;22;6;,2022-10-11,2022-10-14,자가용,,12;21;22;6;,21;22;6
c_c006429,D02,c006429,1;2;4;6;7;,2022-10-22,2022-10-24,자가용,,1;2;4;6;7;,9;4;7
d_d010161,D01,d010161,28;3;21;27;,2022-11-04,2022-11-07,대중교통 등,,28;3;21;27;,21;6;27
d_d004890,D01,d004890,12;27;6;,2022-10-12,2022-10-16,대중교통 등,,12;27;6;,22;27;21
d_d004709,D01,d004709,2;22;6;,2022-10-08,2022-10-09,대중교통 등,,2;22;6;,6;2;26
d_d005974,D01,d005974,21;27;28;,2022-10-24,2022-10-28,대중교통 등,,21;27;28;,28;21;3
d_d002011,D01,d002011,21;,2022-09-30,2022-10-04,대중교통 등,,21;,21;27;28
d_d010626,D01,d010626,21;22;26;27;28;,2022-11-05,2022-11-07,자가용,,21;22;26;27;28;,21;22;28
d_d000950,D01,d000950,22;23;26;,2022-08-26,2022-08-29,자가용,,22;23;26;,22;23;26
a_a010468,D02,a010468,27;,2022-10-22,2022-10-23,자가용,,27;,27;5;24
d_d012333,D01,d012333,1;26;27;4;5;,2022-11-10,2022-11-11,,,1;26;27;4;5;,1;4;24
d_d004356,D01,d004356,1;2;3;5;9;,2022-10-21,2022-10-24,자가용,,1;2;3;5;9;,1;3;9
d_d010299,D01,d010299,13;2;5;7;9;,2022-10-30,2022-11-02,자가용,39세 이하 커플 여행,13;2;5;7;9;,5;13;3
d_d005246,D01,d005246,2;22;,2022-10-12,2022-10-14,자가용,,2;22;,2;21;22
d_d009770,D01,d009770,1;2;22;23;3;,2022-10-29,2022-10-31,자가용,,1;2;22;23;3;,23;2;22
d_d009315,D01,d009315,2;4;,2022-10-29,2022-11-02,대중교통 등,,2;4;,21;2;11
d_d011170,D01,d011170,27;3;6;21;24;,2022-11-01,2022-11-07,자가용,39세 이하 3인 이상 친구,27;3;6;21;24;,27;6;1
b_b004713,D02,b004713,21;26;4;5;8;,2022-09-23,2022-09-25,자가용,,21;26;4;5;8;,8;28;21
d_d009175,D01,d009175,2;6;9;21;22;,2022-10-28,2022-10-30,자가용,,2;6;9;21;22;,6;11;22
d_d003409,D01,d003409,2;6;5;22;,2022-10-28,2022-11-01,대중교통 등,39세 이하 커플 여행,2;6;5;22;,5;6;22
d_d010193,D01,d010193,1;21;22;24;9;,2022-11-01,2022-11-06,대중교통 등,39세 이하 커플 여행,1;21;22;24;9;,22;26;24
d_d000196,D01,d000196,1;,2022-08-22,2022-08-26,자가용,,1;,23;27;5
d_d003477,D01,d003477,21;3;11;,2022-10-29,2022-10-31,자가용,,21;3;11;,11;21;28
d_d002146,D01,d002146,1;22;4;6;,2022-09-29,2022-10-01,대중교통 등,39세 이하 부부 여행,1;22;4;6;,3;6;28
d_d001451,D01,d001451,23;24;6;7;,2022-10-09,2022-10-12,대중교통 등,,23;24;6;7;,6;24;28
d_d006111,D01,d006111,1;21;22;26;28;,2022-10-17,2022-10-19,자가용,,1;21;22;26;28;,4;21;24
d_d001605,D01,d001605,1;11;21;22;28;,2022-09-30,2022-10-04,자가용,39세 이하 커플 여행,1;11;21;22;28;,1;11;21
d_d010440,D01,d010440,21;22;24;26;,2022-10-30,2022-11-02,자가용,,21;22;24;26;,22;21;12
d_d001541,D01,d001541,2;22;23;,2022-09-26,2022-09-29,자가용,,2;22;23;,2;22;23
d_d003060,D01,d003060,2;22;26;,2022-10-29,2022-10-31,대중교통 등,39세 이하 부부 여행,2;22;26;,2;22;1
c_c002761,D02,c002761,10;2;22;26;5;,2022-09-22,2022-09-25,자가용,호남권 외에 거주하는 39세 이하 커플,10;2;22;26;5;,2;3;22
d_d007109,D01,d007109,21;22;10;24;5;,2022-10-27,2022-10-30,자가용,,21;22;10;24;5;,2;10;21
d_d001361,D01,d001361,11;2;5;7;9;,2022-09-23,2022-09-27,대중교통 등,39세 이하 부부 여행,11;2;5;7;9;,5;11;2
d_d000654,D01,d000654,22;23;5;,2022-08-21,2022-08-24,대중교통 등,,22;23;5;,23;22;5
d_d006204,D01,d006204,1;2;3;4;9;11;12;22;6;4;,2022-10-29,2022-11-01,대중교통 등,40세 이상 3인 이상 친구,1;2;3;4;9;11;12;22;6;4;,6;22;1
d_d002560,D01,d002560,12;3;5;,2022-10-19,2022-10-23,대중교통 등,,12;3;5;,5;24;1
d_d006767,D01,d006767,6;27;11;,2022-10-28,2022-10-29,자가용,,6;27;11;,2;11;6
d_d010361,D01,d010361,1;12;2;23;6;,2022-11-03,2022-11-06,자가용,,1;12;2;23;6;,1;2;28
d_d006976,D01,d006976,1;10;12;22;26;23;,2022-10-21,2022-10-24,대중교통 등,39세 이하 커플 여행,1;10;12;22;26;23;,1;22;12
d_d007038,D01,d007038,11;2;28;,2022-10-29,2022-10-31,자가용,,11;2;28;,28;2;21
d_d006923,D01,d006923,12;2;22;5;6;,2022-10-25,2022-10-28,대중교통 등,39세 이하 커플 여행,12;2;22;5;6;,22;5;2
a_a004336,D02,a004336,21;4;,2022-10-04,2022-10-05,,수도권 거주 40세 이상 부모 동반,21;4;,2;21;22
d_d001427,D01,d001427,2;3;4;5;6;,2022-09-21,2022-09-25,자가용,39세 이하 커플 여행,2;3;4;5;6;,5;2;10
d_d000366,D01,d000366,1;2;5;6;,2022-08-24,2022-08-29,대중교통 등,,1;2;5;6;,6;2;13
d_d012283,D01,d012283,11;13;21;27;,2022-11-09,2022-11-10,,,11;13;21;27;,13;21;27
d_d009452,D01,d009452,1;2;4;5;8;,2022-10-29,2022-10-31,자가용,,1;2;4;5;8;,2;22;26
d_d012326,D01,d012326,21;,2022-11-13,2022-11-14,,,21;,24;2;5
a_a011233,D02,a011233,1;25;26;22;,2022-11-01,2022-11-04,대중교통 등,수도권 거주 39세 이하 커플,1;25;26;22;,1;25;23
b_b002796,D02,b002796,12;21;22;24;26;,2022-09-02,2022-09-05,대중교통 등,,12;21;22;24;26;,22;21;26
d_d003688,D01,d003688,1;21;24;28;,2022-10-16,2022-10-19,자가용,,1;21;24;28;,21;28;1
d_d001640,D01,d001640,1;10;2;22;23;,2022-09-22,2022-09-24,자가용,,1;10;2;22;23;,23;2;28
d_d004770,D01,d004770,1;2;22;23;6;,2022-10-11,2022-10-14,대중교통 등,39세 이하 커플 여행,1;2;22;23;6;,2;1;6
d_d001319,D01,d001319,11;2;21;22;9;,2022-09-08,2022-09-11,자가용,39세 이하 자녀 동반 여행,11;2;21;22;9;,2;22;21
d_d007859,D01,d007859,22;5;,2022-10-28,2022-10-31,대중교통 등,,22;5;,5;22;1
d_d009096,D01,d009096,22;24;,2022-10-28,2022-11-01,자가용,,22;24;,22;24;26
d_d011298,D01,d011298,2;22;28;6;,2022-11-02,2022-11-05,대중교통 등,39세 이하 자녀 동반 여행,2;22;28;6;,22;2;6
d_d000920,D01,d000920,22;23;24;5;6;,2022-08-24,2022-08-29,대중교통 등,,22;23;24;5;6;,2;22;24
d_d006759,D01,d006759,1;2;3;6;9;,2022-10-23,2022-10-24,자가용,,1;2;3;6;9;,2;22;24
a_a003210,D02,a003210,10;22;23;26;4;,2022-09-30,2022-10-02,자가용,수도권 거주 39세 이하 커플,10;22;23;26;4;,23;10;4
d_d003519,D01,d003519,1;12;2;6;7;,2022-10-19,2022-10-23,대중교통 등,,1;12;2;6;7;,24;2;28
d_d001649,D01,d001649,1;2;22;23;3;,2022-09-26,2022-09-29,대중교통 등,,1;2;22;23;3;,23;2;24
b_b004064,D02,b004064,22;24;3;5;8;,2022-10-02,2022-10-04,자가용,경상권 외에 거주하는 39세 이하 3인 이상 친구,22;24;3;5;8;,3;22;21
a_a002561,D02,a002561,2;22;26;4;,2022-09-24,2022-09-25,자가용,,2;22;26;4;,22;26;4
d_d011359,D01,d011359,10;21;24;27;28;,2022-11-02,2022-11-08,자가용,,10;21;24;27;28;,27;28;21
d_d000330,D01,d000330,2;26;3;6;9;,2022-08-22,2022-08-26,대중교통 등,39세 이하 자녀 동반 여행,2;26;3;6;9;,2;3;26
d_d006715,D01,d006715,1;12;21;22;26;,2022-10-26,2022-11-01,대중교통 등,,1;12;21;22;26;,21;22;26
d_d002303,D01,d002303,1;12;2;23;4;,2022-10-06,2022-10-12,자가용,39세 이하 커플 여행,1;12;2;23;4;,2;1;6
d_d000608,D01,d000608,2;22;26;3;6;,2022-08-19,2022-08-22,자가용,,2;22;26;3;6;,12;22;26
d_d006067,D01,d006067,2;22;6;,2022-10-22,2022-10-24,자가용,,2;22;6;,2;6;22
d_d001555,D02,d001555,21;22;24;4;,2022-09-24,2022-09-28,대중교통 등,,21;22;24;4;,1;27;4
d_d002734,D01,d002734,10;22;5;8;9;,2022-10-02,2022-10-06,대중교통 등,,10;22;5;8;9;,1;6;4
d_d010086,D01,d010086,2;22;7;5;21;24;26;23;27;9;11;4;3;1;6;,2022-10-30,2022-11-02,자가용,,2;22;7;5;21;24;26;23;27;9;11;4;3;1;6;,5;2;21
d_d004957,D01,d004957,2;22;23;4;8;,2022-10-16,2022-10-21,대중교통 등,40세 이상 3인 이상 친구,2;22;23;4;8;,2;8;22
b_b003295,D02,b003295,1;10;12;2;5;,2022-10-28,2022-11-01,자가용,,1;10;12;2;5;,5;1;9
d_d012389,D01,d012389,21;22;26;,2022-11-13,2022-11-14,,,21;22;26;,21;22;26
d_d000339,D01,d000339,1;2;4;5;6;,2022-09-01,2022-09-05,자가용,39세 이하 부모 동반 여행,1;2;4;5;6;,2;6;5
d_d007969,D01,d007969,2;4;,2022-10-29,2022-10-31,자가용,,2;4;,2;23;4
d_d003589,D01,d003589,6;27;1;4;,2022-10-05,2022-10-08,대중교통 등,39세 이하 커플 여행,6;27;1;4;,6;1;4
d_d001686,D01,d001686,1;11;21;4;5;,2022-09-27,2022-10-01,자가용,39세 이하 커플 여행,1;11;21;4;5;,21;28;11
d_d002483,D01,d002483,11;2;22;24;6;,2022-10-23,2022-10-27,대중교통 등,40세 이상 부모 동반 여행,11;2;22;24;6;,1;2;5
d_d010844,D01,d010844,24;28;,2022-11-01,2022-11-05,대중교통 등,,24;28;,21;24;11
d_d004159,D01,d004159,2;9;11;,2022-10-07,2022-10-11,대중교통 등,40세 이상 3대 동반 여행,2;9;11;,6;9;11
d_d001189,D02,d001189,21;22;27;,2022-09-17,2022-09-22,대중교통 등,,21;22;27;,3;22;27
d_d005480,D01,d005480,5;8;,2022-10-11,2022-10-13,자가용,,5;8;,8;22;6
d_d001057,D01,d001057,12;2;23;,2022-09-02,2022-09-05,대중교통 등,39세 이하 부부 여행,12;2;23;,2;23;6
c_c005797,D02,c005797,1;24;22;,2022-10-10,2022-10-11,자가용,,1;24;22;,1;24;4
d_d004733,D01,d004733,22;,2022-10-29,2022-10-31,자가용,,22;,22;23;24
d_d001799,D01,d001799,2;21;22;23;,2022-09-30,2022-10-03,대중교통 등,,2;21;22;23;,22;2;23
d_d001610,D01,d001610,1;2;23;,2022-10-01,2022-10-05,대중교통 등,40세 이상 3인 이상 친구,1;2;23;,2;5;6
d_d000079,D01,d000079,12;2;23;28;,2022-08-14,2022-08-17,대중교통 등,40세 이상 자녀 동반 여행,1;,4;28;6
d_d005308,D01,d005308,1;13;22;3;24;27;28;21;12;5;2;,2022-10-25,2022-10-28,대중교통 등,39세 이하 3인 이상 친구,1;13;22;3;24;27;28;21;12;5;2;,22;1;27
d_d004101,D01,d004101,10;,2022-10-11,2022-10-15,자가용,,10;,10;24;21
d_d010596,D01,d010596,2;1;21;22;23;28;23;6;,2022-10-30,2022-11-02,대중교통 등,39세 이하 커플 여행,2;1;21;22;23;28;23;6;,2;5;6
d_d000255,D01,d000255,21;22;27;28;5;,2022-08-30,2022-09-02,대중교통 등,,21;22;27;28;5;,28;5;1
d_d007843,D01,d007843,22;23;24;6;,2022-10-30,2022-11-01,자가용,,22;23;24;22;23;6;23;22;,23;6;22
b_b004552,D02,b004552,2;26;3;4;9;,2022-09-24,2022-09-25,자가용,,2;26;3;4;9;,26;6;2
c_c005312,D02,c005312,21;22;3;4;7;,2022-10-08,2022-10-11,자가용,충청권 외에 거주하는 40세 이상 3인 이상 친구,21;22;3;4;7;,6;1;21
d_d012454,D01,d012454,1;12;13;3;6;,2022-11-10,2022-11-11,,,1;12;13;3;6;,26;28;12
d_d009918,D01,d009918,1;2;3;28;27;23;22;11;7;,2022-11-04,2022-11-07,자가용,,1;2;3;28;27;23;22;11;7;,28;2;22
d_d005281,D01,d005281,2;23;4;,2022-10-11,2022-10-16,대중교통 등,40세 이상 자녀 동반 여행,2;23;4;,2;24;4
d_d003604,D01,d003604,22;26;27;28;8;,2022-10-15,2022-10-17,자가용,,22;26;27;28;8;,22;27;28
d_d002048,D01,d002048,21;24;27;28;5;,2022-10-12,2022-10-15,대중교통 등,,21;24;27;28;5;,21;27;6
d_d002537,D01,d002537,1;10;12;3;6;,2022-10-02,2022-10-05,대중교통 등,,1;10;12;3;6;,12;21;22
d_d001693,D01,d001693,22;28;4;5;6;,2022-09-30,2022-10-05,대중교통 등,,22;28;4;5;6;,28;22;3
d_d006007,D01,d006007,24;28;3;5;8;,2022-10-16,2022-10-19,자가용,,24;28;3;5;8;,28;24;8
c_c002534,D02,c002534,24;27;,2022-09-26,2022-09-28,자가용,,24;27;,8;27;6
d_d003343,D01,d003343,22;26;27;28;,2022-10-09,2022-10-11,자가용,,22;26;27;28;,27;28;22
d_d002531,D01,d002531,10;21;22;3;4;,2022-10-09,2022-10-14,대중교통 등,,10;21;22;3;4;,3;21;23
d_d000349,D01,d000349,1;2;23;4;5;,2022-08-29,2022-09-01,대중교통 등,,1;2;23;4;5;,23;5;2
d_d000928,D01,d000928,1;21;24;26;4;,2022-08-27,2022-08-31,대중교통 등,,1;21;24;26;4;,24;26;10
d_d001091,D01,d001091,12;2;4;5;6;,2022-08-27,2022-08-31,대중교통 등,39세 이하 커플 여행,12;2;4;5;6;,22;26;6
d_d004104,D01,d004104,1;2;3;4;6;,2022-10-10,2022-10-13,자가용,,1;2;3;4;6;,28;3;2
d_d002086,D01,d002086,2;22;27;28;5;,2022-10-15,2022-10-19,대중교통 등,,2;22;27;28;5;,22;24;3
d_d003828,D01,d003828,10;2;22;5;6;,2022-10-08,2022-10-12,자가용,39세 이하 커플 여행,10;2;22;5;6;,24;27;21
c_c002788,D02,c002788,2;21;22;4;,2022-10-08,2022-10-11,자가용,,2;21;22;4;,1;4;9
c_c003306,D02,c003306,24;,2022-10-08,2022-10-10,자가용,,24;,21;23;24
d_d001439,D01,d001439,22;24;25;26;,2022-09-27,2022-09-30,대중교통 등,,22;24;25;26;,22;23;24
a_a003724,D02,a003724,11;22;5;6;,2022-10-01,2022-10-04,자가용,,11;22;5;6;,22;26;11
d_d001463,D01,d001463,1;22;23;6;,2022-09-17,2022-09-21,자가용,,1;22;23;6;,22;1;6
d_d009416,D01,d009416,3;22;26;,2022-11-01,2022-11-06,대중교통 등,,3;22;26;,22;26;2
d_d001062,D01,d001062,11;2;21;4;5;,2022-08-28,2022-08-31,대중교통 등,39세 이하 3인 이상 친구,11;2;21;4;5;,5;2;21
d_d007793,D01,d007793,22;23;26;27;28;,2022-10-25,2022-10-27,대중교통 등,,22;23;26;27;28;,3;22;21
d_d004004,D01,d004004,7;12;28;21;23;,2022-11-05,2022-11-07,자가용,,7;12;28;21;23;,7;12;21
d_d009000,D01,d009000,1;2;3;5;7;,2022-10-27,2022-10-31,대중교통 등,39세 이하 3인 이상 친구,1;2;3;5;7;,6;1;22
d_d009893,D01,d009893,21;27;28;5;,2022-10-29,2022-10-30,자가용,,21;27;28;5;,28;27;21
d_d006379,D01,d006379,2;28;5;,2022-10-16,2022-10-20,대중교통 등,,2;28;5;,28;2;5
d_d004720,D01,d004720,4;,2022-10-15,2022-10-17,자가용,,4;,4;23;1
d_d006337,D01,d006337,22;23;24;,2022-10-30,2022-11-01,대중교통 등,,22;23;24;,23;24;22
d_d002411,D01,d002411,1;10;23;28;,2022-10-26,2022-10-31,대중교통 등,40세 이상 자녀 동반 여행,1;10;23;28;,2;28;21
d_d006908,D01,d006908,22;23;24;27;28;,2022-10-22,2022-10-23,자가용,,22;23;24;27;28;,11;9;6
d_d010264,D01,d010264,1;10;12;4;5;,2022-10-31,2022-11-03,대중교통 등,39세 이하 커플 여행,1;10;12;4;5;,2;5;21
d_d012252,D01,d012252,1;2;27;4;5;,2022-11-05,2022-11-07,자가용,39세 이하 자녀 동반 여행,1;2;27;4;5;,1;2;3
d_d007393,D01,d007393,1;2;3;5;6;,2022-10-26,2022-10-29,자가용,,1;2;3;5;6;,2;6;23
d_d006126,D01,d006126,21;27;5;,2022-10-15,2022-10-17,자가용,,21;27;5;,21;27;5
d_d009496,D01,d009496,1;2;3;4;5;6;7;8;9;11;11;12;13;21;22;24;24;26;27;28;,2022-11-04,2022-11-07,자가용,,1;2;3;4;5;6;7;8;9;11;11;12;13;21;22;24;24;26;27;28;,5;8;7
c_c002438,D02,c002438,27;3;4;9;,2022-09-29,2022-10-02,대중교통 등,호남권 외에 거주하는 40세 이상 3인 이상 친구,27;3;4;9;,3;9;4
d_d007084,D01,d007084,1;10;23;,2022-10-20,2022-10-24,대중교통 등,40세 이상 3대 동반 여행,1;10;23;,23;1;21
d_d000117,D01,d000117,1;,2022-08-20,2022-08-25,대중교통 등,,1;,1;23;5
d_d000424,D01,d000424,12;2;23;28;3;,2022-08-19,2022-08-24,대중교통 등,,12;2;23;28;3;,2;5;3
d_d007014,D01,d007014,1;21;24;3;4;,2022-10-22,2022-10-25,대중교통 등,39세 이하 3인 이상 친구,1;21;24;3;4;,1;22;21
a_a004257,D02,a004257,2;22;25;26;8;,2022-10-01,2022-10-04,자가용,수도권 거주 39세 이하 3인 이상 친구,2;22;25;26;8;,2;25;11
a_a002963,D02,a002963,12;22;3;,2022-09-25,2022-09-26,자가용,,12;22;3;,22;3;26
a_a005177,D02,a005177,1;21;24;26;5;,2022-10-08,2022-10-09,,수도권 거주 40세 이상 부부,1;21;24;26;5;,1;24;22
d_d004936,D01,d004936,22;26;,2022-10-15,2022-10-16,자가용,,22;26;,26;22;24
d_d009931,D01,d009931,1;10;28;4;6;,2022-11-01,2022-11-04,자가용,,1;10;28;4;6;,22;6;10
d_d003065,D01,d003065,1;10;23;28;3;,2022-10-12,2022-10-16,대중교통 등,40세 이상 자녀 동반 여행,1;10;23;28;3;,28;23;10
d_d003109,D01,d003109,21;22;23;26;,2022-10-18,2022-10-21,자가용,,21;22;23;26;,22;12;26
b_b000543,D02,b000543,21;22;24;27;3;,2022-08-04,2022-08-07,대중교통 등,,3;,3;27;24
d_d004016,D01,d004016,22;7;23;3;12;7;,2022-10-21,2022-10-24,자가용,,22;7;23;3;12;7;,2;22;24
d_d003349,D01,d003349,2;22;4;26;27;3;1;6;5;21;24;,2022-11-01,2022-11-04,대중교통 등,39세 이하 커플 여행,2;22;4;26;27;3;1;6;5;21;24;,1;4;24
d_d003020,D01,d003020,1;11;28;6;8;,2022-10-21,2022-10-24,자가용,,1;11;28;6;8;,6;9;1
d_d002396,D01,d002396,22;23;26;4;,2022-10-08,2022-10-12,자가용,,22;23;26;4;,26;6;4
d_d007611,D01,d007611,1;11;2;6;9;,2022-10-26,2022-10-31,대중교통 등,39세 이하 커플 여행,1;11;2;6;9;,6;10;9
d_d007532,D01,d007532,1;,2022-10-24,2022-10-28,대중교통 등,,1;,1;23;6
d_d001278,D01,d001278,1;22;28;,2022-09-24,2022-09-27,대중교통 등,39세 이하 부모 동반 여행,1;22;28;,22;28;1
d_d001224,D02,d001224,1;22;27;3;6;,2022-09-21,2022-09-25,대중교통 등,,1;22;27;3;6;,3;11;27
d_d007188,D01,d007188,23;28;5;6;9;,2022-10-28,2022-10-31,대중교통 등,,23;28;5;6;9;,27;22;5
d_d004582,D01,d004582,2;21;22;6;,2022-10-10,2022-10-13,자가용,39세 이하 커플 여행,2;21;22;6;,2;21;22
a_a002119,D02,a002119,1;22;23;26;4;,2022-10-01,2022-10-03,대중교통 등,수도권 거주 39세 이하 커플,1;22;23;26;4;,7;1;4
d_d002101,D01,d002101,21;22;24;25;26;,2022-10-08,2022-10-11,자가용,,21;22;24;25;26;,21;24;25
d_d002799,D01,d002799,1;2;,2022-10-03,2022-10-07,대중교통 등,39세 이하 커플 여행,1;2;,3;1;23
c_c002512,D02,c002512,21;22;,2022-09-22,2022-09-26,자가용,,21;22;,21;22;2
d_d009102,D01,d009102,4;21;22;22;27;,2022-10-30,2022-10-31,대중교통 등,,4;21;22;22;27;,27;22;4
d_d005029,D02,d005029,12;22;26;27;24;28;,2022-10-18,2022-10-21,자가용,,12;22;26;27;24;28;,21;12;22
d_d000561,D01,d000561,10;22;4;5;6;,2022-08-25,2022-08-29,자가용,,10;22;4;5;6;,5;22;26
d_d003204,D01,d003204,1;2;3;4;5;6;7;9;8;10;11;12;13;22;21;23;24;26;27;28;,2022-10-15,2022-10-17,대중교통 등,,1;2;3;4;5;6;7;9;8;10;11;12;13;22;21;23;24;26;27;28;,4;1;11
b_b001421,D02,b001421,1;10;13;,2022-08-28,2022-08-30,자가용,,1;10;13;,3;23;10
