TRAVEL_ID,TRAVEL_NM,TRAVELER_ID,TRAVEL_PURPOSE,TRAVEL_START_YMD,TRAVEL_END_YMD,MVMN_NM,TRAVEL_PERSONA,TRAVEL_MISSION,TRAVEL_MISSION_CHECK
d_d001112,D02,d001112,3;5;7;,2022-09-10,2022-09-14,대중교통 등,,3;5;7;,22;24;1
d_d010973,D01,d010973,1;22;24;26;5;,2022-11-04,2022-11-08,대중교통 등,39세 이하 3인 이상 친구,1;22;24;26;5;,22;24;26
a_a004350,D02,a004350,2;22;24;26;,2022-10-08,2022-10-09,자가용,,2;22;24;26;,26;22;24
d_d005065,D01,d005065,1;11;2;,2022-10-09,2022-10-15,자가용,39세 이하 자녀 동반 여행,1;11;2;,2;11;6
d_d001812,D01,d001812,24;27;28;4;5;,2022-10-03,2022-10-07,대중교통 등,,24;27;28;4;5;,28;21;24
d_d009412,D01,d009412,1;2;22;5;,2022-11-02,2022-11-05,자가용,39세 이하 커플 여행,1;2;22;5;,5;1;22
b_b002884,D02,b002884,21;5;,2022-08-27,2022-08-29,대중교통 등,,21;5;,5;21;22
d_d002651,D01,d002651,22;24;,2022-10-14,2022-10-18,자가용,,22;24;,22;24;4
d_d008029,D01,d008029,1;21;22;,2022-10-28,2022-11-01,자가용,39세 이하 3인 이상 친구,1;21;22;,1;2;21
d_d001863,D01,d001863,10;13;21;24;6;,2022-10-04,2022-10-08,대중교통 등,39세 이하 커플 여행,10;13;21;24;6;,3;10;13
d_d004187,D02,d004187,27;3;,2022-10-15,2022-10-17,대중교통 등,,27;3;,22;27;3
b_b001752,D02,b001752,22;23;,2022-09-02,2022-09-04,자가용,,22;23;,23;22;6
b_b002235,D02,b002235,2;4;,2022-08-19,2022-08-21,대중교통 등,경상권 외에 거주하는 39세 이하 커플,2;4;,2;4;22
d_d002406,D01,d002406,10;2;23;5;7;,2022-09-30,2022-10-05,자가용,,10;2;23;5;7;,2;10;11
d_d002605,D01,d002605,27;21;22;23;,2022-10-22,2022-10-25,자가용,,27;21;22;23;,21;27;22
d_d004754,D01,d004754,23;27;6;,2022-10-15,2022-10-17,자가용,,23;27;6;,23;6;9
d_d002252,D01,d002252,1;26;5;6;7;,2022-10-01,2022-10-05,자가용,39세 이하 커플 여행,1;26;5;6;7;,1;28;11
d_d010266,D01,d010266,22;,2022-11-04,2022-11-08,대중교통 등,,22;,22;28;1
d_d010212,D01,d010212,10;12;22;23;24;,2022-10-29,2022-10-31,자가용,,10;12;22;23;24;,2;26;22
d_d004195,D01,d004195,1;22;4;6;9;,2022-10-12,2022-10-17,자가용,,1;22;4;6;9;,22;26;1
d_d009159,D01,d009159,8;,2022-10-29,2022-10-31,자가용,,8;,2;5;8
d_d000652,D01,d000652,22;5;,2022-08-25,2022-08-28,대중교통 등,,22;5;,3;5;22
d_d002973,D01,d002973,1;2;6;,2022-10-10,2022-10-13,대중교통 등,40세 이상 부부 여행,1;2;6;,2;6;1
d_d004638,D01,d004638,22;23;26;27;28;,2022-11-02,2022-11-08,대중교통 등,,22;23;26;27;28;,5;21;22
d_d005249,D01,d005249,28;21;,2022-10-23,2022-10-24,자가용,,28;21;,28;21;1
d_d001019,D01,d001019,22;28;5;6;8;,2022-09-02,2022-09-06,대중교통 등,,22;28;5;6;8;,9;22;28
d_d000297,D01,d000297,22;24;26;5;6;,2022-08-25,2022-08-29,대중교통 등,,22;24;26;5;6;,26;22;4
d_d001724,D01,d001724,10;11;5;8;9;,2022-10-22,2022-10-25,자가용,,10;11;5;8;9;,8;21;27
d_d010167,D01,d010167,3;5;6;27;,2022-11-03,2022-11-06,대중교통 등,,3;5;6;27;,6;27;3
d_d000092,D01,d000092,2;21;22;24;,2022-08-05,2022-08-08,대중교통 등,40세 이상 3인 이상 친구,2;,2;11;22
d_d008992,D01,d008992,1;2;3;23;,2022-10-27,2022-10-30,대중교통 등,39세 이하 3인 이상 친구,1;2;3;23;,23;1;6
d_d006341,D01,d006341,10;2;21;22;23;,2022-10-22,2022-10-25,자가용,,10;2;21;22;23;,23;10;21
b_b004963,D02,b004963,11;27;3;,2022-10-02,2022-10-04,자가용,,11;27;3;,3;27;24
a_a003193,D02,a003193,2;5;6;,2022-10-01,2022-10-04,자가용,수도권 거주 39세 이하 커플,2;5;6;,2;5;10
d_d003200,D01,d003200,21;22;24;5;,2022-10-09,2022-10-10,대중교통 등,,21;22;24;5;,5;21;24
d_d001299,D02,d001299,27;8;,2022-09-23,2022-09-26,자가용,,27;8;,8;27;22
d_d009342,D01,d009342,21;22;26;,2022-11-01,2022-11-06,자가용,,21;22;26;,22;21;26
d_d007623,D01,d007623,5;,2022-10-28,2022-11-01,대중교통 등,,5;,1;2;5
d_d005276,D01,d005276,11;2;23;24;5;,2022-10-10,2022-10-15,자가용,39세 이하 커플 여행,11;2;23;24;5;,21;23;6
d_d002688,D01,d002688,1;11;12;6;9;,2022-10-04,2022-10-07,자가용,,1;11;12;6;9;,21;27;10
d_d010551,D01,d010551,1;11;2;22;5;,2022-11-05,2022-11-08,자가용,39세 이하 부모 동반 여행,1;11;2;22;5;,22;23;2
d_d009146,D01,d009146,1;2;23;,2022-10-29,2022-11-01,대중교통 등,39세 이하 커플 여행,1;2;23;,2;23;1
d_d005317,D01,d005317,11;22;24;26;9;,2022-10-19,2022-10-21,자가용,,11;22;24;26;9;,2;22;10
d_d009605,D01,d009605,22;24;,2022-10-30,2022-11-03,자가용,,22;24;,24;22;26
d_d009814,D01,d009814,1;10;2;22;6;,2022-11-03,2022-11-06,대중교통 등,39세 이하 부부 여행,1;10;2;22;6;,2;10;22
d_d006274,D01,d006274,3;5;,2022-10-25,2022-10-30,대중교통 등,40세 이상 자녀 동반 여행,3;5;,3;2;6
d_d003075,D01,d003075,1;2;22;24;4;,2022-10-14,2022-10-17,자가용,,1;2;22;24;4;,22;2;21
d_d004496,D01,d004496,2;6;22;7;22;21;26;24;,2022-10-14,2022-10-17,자가용,,2;6;22;7;22;21;26;24;,2;21;22
a_a000887,D02,a000887,22;3;,2022-08-26,2022-08-28,자가용,,22;3;,23;5;3
d_d003262,D01,d003262,22;6;,2022-10-29,2022-10-30,자가용,,22;6;,6;22;1
d_d003247,D01,d003247,1;3;5;7;11;12;13;22;28;,2022-10-22,2022-10-24,자가용,,1;3;5;7;11;12;13;22;28;,3;7;11
d_d009840,D01,d009840,1;4;22;,2022-11-02,2022-11-05,자가용,39세 이하 커플 여행,1;4;22;,22;4;1
d_d000545,D01,d000545,2;22;26;,2022-08-19,2022-08-23,대중교통 등,,2;22;26;,26;2;22
d_d004304,D01,d004304,11;2;21;6;9;,2022-10-15,2022-10-17,자가용,,11;2;21;6;9;,21;9;11
d_d002779,D01,d002779,1;5;22;23;26;,2022-10-28,2022-10-31,대중교통 등,,1;5;22;23;26;,22;26;1
d_d007967,D01,d007967,22;6;,2022-10-29,2022-10-31,대중교통 등,,22;6;,6;22;7
d_d003737,D01,d003737,2;25;26;27;28;,2022-10-06,2022-10-07,자가용,,2;25;26;27;28;,27;22;12
d_d004878,D01,d004878,6;3;2;,2022-10-18,2022-10-21,자가용,,6;3;2;,3;2;6
d_d005208,D01,d005208,1;5;6;22;28;,2022-10-29,2022-10-31,자가용,,1;5;6;22;28;,5;6;1
b_b003995,D02,b003995,2;28;6;,2022-09-19,2022-09-22,자가용,경상권 외에 거주하는 39세 이하 커플,2;28;6;,23;22;3
d_d001581,D01,d001581,21;22;,2022-09-22,2022-09-24,대중교통 등,,21;22;,23;22;21
d_d000721,D01,d000721,21;24;26;28;5;,2022-08-31,2022-09-04,자가용,,21;24;26;28;5;,3;26;21
d_d011654,D01,d011654,1;22;26;3;7;,2022-11-05,2022-11-08,자가용,39세 이하 부부 여행,1;22;26;3;7;,22;24;28
d_d003694,D01,d003694,21;22;23;24;25;,2022-10-12,2022-10-17,자가용,,21;22;23;24;25;,5;21;22
d_d009148,D01,d009148,21;3;4;7;,2022-10-30,2022-11-04,대중교통 등,,21;3;4;7;,7;4;24
b_b002840,D02,b002840,21;6;,2022-08-20,2022-08-22,자가용,,21;6;,6;21;26
d_d005225,D01,d005225,1;2;3;12;21;22;24;26;,2022-10-10,2022-10-11,자가용,,1;2;3;12;21;22;24;26;,6;11;1
d_d012363,D01,d012363,6;,2022-11-12,2022-11-13,,,6;,6;4;24
c_c004480,D02,c004480,22;,2022-10-03,2022-10-05,대중교통 등,,22;,22;6;7
c_c003991,D02,c003991,21;22;24;25;26;,2022-10-06,2022-10-08,자가용,,21;22;24;25;26;,25;3;6
d_d000432,D01,d000432,21;22;23;,2022-08-22,2022-08-28,대중교통 등,,21;22;23;,22;23;26
d_d010480,D01,d010480,2;10;6;21;22;23;24;26;27;,2022-10-30,2022-11-01,자가용,,2;10;6;21;22;23;24;26;27;,23;21;11
d_d005232,D01,d005232,12;2;22;28;6;,2022-10-15,2022-10-17,자가용,,12;2;22;28;6;,2;12;22
a_a003613,D02,a003613,1;22;23;24;27;,2022-10-08,2022-10-11,대중교통 등,,1;22;23;24;27;,22;23;9
d_d003815,D01,d003815,6;22;,2022-10-27,2022-10-30,자가용,,6;22;,22;6;9
d_d004569,D01,d004569,1;2;3;5;8;,2022-10-08,2022-10-11,자가용,,1;2;3;5;8;,2;11;3
c_c001602,D02,c001602,12;2;28;5;6;,2022-08-29,2022-08-31,자가용,호남권 외에 거주하는 39세 이하 부모 동반,12;2;28;5;6;,2;12;3
a_a002009,D02,a002009,1;2;4;5;6;,2022-09-24,2022-09-26,대중교통 등,수도권 거주 39세 이하 커플,1;2;4;5;6;,2;3;5
d_d003628,D01,d003628,22;13;12;6;3;,2022-10-10,2022-10-11,대중교통 등,,22;13;12;6;3;,22;12;24
d_d012259,D01,d012259,1;21;22;26;4;,2022-11-05,2022-11-06,대중교통 등,,1;21;22;26;4;,22;21;1
d_d001146,D02,d001146,21;22;23;24;27;,2022-09-17,2022-09-20,자가용,,21;22;23;24;27;,23;24;22
d_d001842,D01,d001842,12;2;24;28;4;,2022-10-01,2022-10-04,대중교통 등,,12;2;24;28;4;,2;3;21
d_d009852,D01,d009852,2;3;4;5;6;,2022-10-30,2022-11-02,대중교통 등,39세 이하 커플 여행,2;3;4;5;6;,4;1;24
d_d000527,D01,d000527,1;2;22;4;6;,2022-08-19,2022-08-22,대중교통 등,39세 이하 3인 이상 친구,1;2;22;4;6;,22;2;6
d_d003387,D01,d003387,2;6;7;1;22;23;24;26;,2022-10-10,2022-10-16,대중교통 등,,2;6;7;1;22;23;24;26;,26;1;3
b_b000205,D02,b000205,21;22;5;8;,2022-08-11,2022-08-14,자가용,경상권에 거주하는 40세 이상 3인 이상 친구,5;,8;5;21
d_d004747,D01,d004747,11;2;26;6;9;,2022-10-20,2022-10-26,대중교통 등,,11;2;26;6;9;,26;11;9
d_d000663,D01,d000663,2;26;4;6;,2022-08-28,2022-09-01,대중교통 등,39세 이하 커플 여행,2;26;4;6;,1;4;5
d_d007626,D01,d007626,28;22;,2022-10-29,2022-10-30,자가용,,28;22;,28;24;22
d_d004062,D01,d004062,22;1;23;24;26;2;1;22;,2022-10-09,2022-10-11,자가용,,22;1;23;24;26;2;1;22;,1;23;22
d_d010750,D01,d010750,28;4;6;,2022-11-05,2022-11-08,자가용,,28;4;6;,28;22;21
d_d003722,D01,d003722,24;27;3;6;8;,2022-10-23,2022-10-26,대중교통 등,,24;27;3;6;8;,3;24;27
d_d001183,D01,d001183,2;21;22;,2022-09-20,2022-09-23,대중교통 등,40세 이상 부부 여행,2;21;22;,21;2;22
d_d001894,D01,d001894,3;22;12;,2022-10-24,2022-10-27,대중교통 등,,3;22;12;,22;2;3
d_d012348,D01,d012348,3;,2022-11-12,2022-11-13,,,3;,6;22;24
d_d009788,D01,d009788,4;7;5;28;27;26;24;23;22;21;6;1;,2022-10-30,2022-11-02,대중교통 등,39세 이하 커플 여행,4;7;5;28;27;26;24;23;22;21;6;1;,22;4;1
d_d003344,D01,d003344,2;22;23;27;6;,2022-10-13,2022-10-14,자가용,,2;22;23;27;6;,6;22;21
c_c002117,D02,c002117,23;4;,2022-09-24,2022-09-26,자가용,,23;4;,4;23;28
d_d009681,D01,d009681,1;13;2;22;6;,2022-11-03,2022-11-06,대중교통 등,,1;13;2;22;6;,22;26;2
d_d001591,D01,d001591,12;2;24;6;,2022-09-25,2022-09-28,자가용,39세 이하 3인 이상 친구,12;2;24;6;,6;24;1
d_d000333,D01,d000333,1;2;23;4;6;,2022-08-25,2022-08-29,대중교통 등,39세 이하 자녀 동반 여행,1;2;23;4;6;,2;6;5
d_d000014,D01,d000014,2;23;24;3;6;,2022-08-15,2022-08-20,대중교통 등,40세 이상 자녀 동반 여행,6;,6;2;21
d_d002638,D01,d002638,2;23;28;3;4;,2022-10-01,2022-10-04,자가용,,2;23;28;3;4;,4;22;1
d_d009220,D01,d009220,1;2;26;,2022-10-29,2022-10-31,대중교통 등,,1;2;26;,1;2;6
a_a008714,D02,a008714,21;23;,2022-10-21,2022-10-23,자가용,,21;23;,23;21;3
d_d010045,D01,d010045,2;24;6;,2022-11-03,2022-11-05,자가용,,2;24;6;,6;24;3
d_d002770,D01,d002770,4;5;10;11;21;22;,2022-10-10,2022-10-14,대중교통 등,39세 이하 3인 이상 친구,4;5;10;11;21;22;,5;11;22
d_d004165,D01,d004165,22;24;4;,2022-10-29,2022-10-31,자가용,,22;24;4;,22;4;24
d_d010229,D01,d010229,1;4;6;7;22;24;28;,2022-11-01,2022-11-05,대중교통 등,,1;4;6;7;22;24;28;,7;6;1
d_d009122,D01,d009122,1;11;2;23;6;,2022-10-29,2022-10-31,자가용,,1;11;2;23;6;,6;11;23
d_d012414,D01,d012414,12;2;22;3;4;,2022-11-12,2022-11-13,,,12;2;22;3;4;,9;6;4
d_d000212,D01,d000212,1;2;21;,2022-08-22,2022-08-27,대중교통 등,,1;2;21;,2;21;23
d_d010676,D01,d010676,1;2;6;7;9;,2022-11-01,2022-11-06,대중교통 등,,1;2;6;7;9;,5;22;28
d_d011493,D01,d011493,1;11;2;8;9;,2022-11-04,2022-11-07,자가용,,1;11;2;8;9;,1;7;21
b_b006607,D02,b006607,1;11;,2022-10-05,2022-10-06,,,1;11;,11;1;5
d_d002145,D01,d002145,1;,2022-10-14,2022-10-17,대중교통 등,39세 이하 커플 여행,1;,1;6;22
d_d008051,D01,d008051,22;24;26;4;,2022-10-28,2022-10-31,대중교통 등,,22;24;26;4;,22;24;26
a_a002583,D02,a002583,22;5;8;,2022-09-24,2022-09-26,자가용,수도권 거주 39세 이하 자녀 동반,22;5;8;,8;5;2
d_d004254,D01,d004254,24;25;26;27;28;,2022-10-08,2022-10-11,자가용,,24;25;26;27;28;,4;3;1
d_d000351,D01,d000351,2;22;24;4;5;,2022-08-27,2022-08-30,대중교통 등,,2;22;24;4;5;,5;22;24
d_d003721,D01,d003721,21;22;23;24;26;,2022-10-21,2022-10-23,자가용,,21;22;23;24;26;,21;22;26
d_d005178,D01,d005178,11;2;27;3;6;,2022-10-29,2022-10-31,자가용,,11;2;27;3;6;,11;22;8
d_d001285,D01,d001285,22;23;5;,2022-09-23,2022-09-26,대중교통 등,,22;23;5;,22;26;23
d_d007129,D01,d007129,21;22;24;26;28;,2022-10-23,2022-10-25,자가용,,21;22;24;26;28;,28;22;24
d_d003856,D01,d003856,10;21;22;27;28;,2022-10-14,2022-10-17,대중교통 등,,10;21;22;27;28;,27;28;10
d_d001896,D01,d001896,1;22;6;,2022-10-06,2022-10-09,자가용,,1;22;6;,1;22;26
d_d001643,D01,d001643,1;22;4;7;,2022-09-26,2022-09-28,대중교통 등,,1;22;4;7;,1;23;4
c_c000316,D02,c000316,2;3;4;5;6;,2022-08-22,2022-08-25,자가용,호남권에 거주하는 39세 이하 커플,2;3;4;5;6;,3;5;6
d_d001515,D01,d001515,21;22;25;26;27;,2022-09-29,2022-10-03,대중교통 등,,21;22;25;26;27;,25;27;21
d_d007783,D01,d007783,1;4;22;26;23;,2022-11-01,2022-11-02,자가용,,1;4;22;26;23;,1;21;22
c_c003655,D02,c003655,22;23;26;4;7;,2022-10-16,2022-10-19,대중교통 등,,22;23;26;4;7;,23;22;7
d_d002400,D01,d002400,2;22;5;,2022-10-04,2022-10-08,자가용,,2;22;5;,22;24;26
b_b003123,D02,b003123,23;3;,2022-08-31,2022-09-03,자가용,,23;3;,3;6;22
a_a001064,D02,a001064,25;,2022-08-20,2022-08-21,자가용,,25;,25;21;3
b_b008547,D02,b008547,12;3;4;,2022-10-17,2022-10-18,대중교통 등,,12;3;4;,3;12;2
d_d005194,D01,d005194,21;22;27;6;,2022-10-21,2022-10-25,대중교통 등,,21;22;27;6;,6;22;21
d_d012384,D01,d012384,1;3;,2022-11-13,2022-11-14,,,1;3;,1;3;4
d_d004454,D01,d004454,21;7;,2022-10-22,2022-10-26,대중교통 등,,21;7;,21;1;7
d_d007143,D01,d007143,1;3;4;6;7;,2022-10-29,2022-10-31,자가용,,1;3;4;6;7;,1;3;6
d_d003277,D01,d003277,12;22;23;6;9;,2022-10-20,2022-10-23,자가용,,12;22;23;6;9;,23;22;12
c_c001107,D02,c001107,2;23;25;3;,2022-09-07,2022-09-09,자가용,,2;23;25;3;,2;6;25
d_d001294,D01,d001294,23;9;,2022-09-13,2022-09-16,대중교통 등,39세 이하 커플 여행,23;9;,23;9;1
d_d002687,D01,d002687,11;21;22;,2022-10-04,2022-10-10,대중교통 등,,11;21;22;,11;2;1
d_d004036,D01,d004036,21;22;27;28;3;,2022-11-06,2022-11-07,자가용,,21;22;27;28;3;,28;21;3
d_d004163,D01,d004163,22;28;,2022-10-15,2022-10-16,자가용,,22;28;,28;22;9
c_c002769,D02,c002769,23;4;,2022-09-24,2022-09-27,자가용,,23;4;,4;23;22
d_d006853,D01,d006853,1;21;22;24;4;,2022-10-29,2022-11-01,자가용,,1;21;22;24;4;,1;22;24
d_d000035,D01,d000035,2;21;22;26;5;,2022-08-05,2022-08-07,대중교통 등,,5;,5;6;1
b_b000938,D02,b000938,1;5;9;,2022-08-18,2022-08-21,자가용,,1;5;9;,1;5;2
c_c000263,D02,c000263,3;,2022-08-16,2022-08-20,자가용,,3;,3;4;6
d_d002697,D01,d002697,21;22;23;27;28;,2022-10-27,2022-10-31,대중교통 등,,21;22;23;27;28;,21;24;22
d_d007503,D01,d007503,1;10;13;21;23;,2022-10-23,2022-10-26,대중교통 등,,1;10;13;21;23;,21;22;1
d_d002979,D01,d002979,2;3;10;24;26;28;7;,2022-10-08,2022-10-11,자가용,,2;3;10;24;26;28;7;,10;28;24
d_d007453,D01,d007453,1;11;2;3;6;,2022-10-30,2022-11-02,대중교통 등,,1;11;2;3;6;,27;6;2
d_d005398,D01,d005398,5;8;21;22;5;27;28;5;,2022-10-29,2022-10-31,자가용,,5;8;21;22;5;27;28;5;,8;21;27
d_d001941,D01,d001941,4;5;6;,2022-10-07,2022-10-11,자가용,,4;5;6;,5;6;4
d_d009066,D01,d009066,1;3;21;,2022-10-29,2022-11-01,자가용,,1;3;21;,21;3;1
d_d000469,D01,d000469,22;23;24;26;5;,2022-08-20,2022-08-25,대중교통 등,39세 이하 부부 여행,22;23;24;26;5;,5;22;24
a_a004572,D02,a004572,23;,2022-09-29,2022-10-01,자가용,,23;,23;24;1
d_d007913,D01,d007913,22;28;6;,2022-10-26,2022-10-29,대중교통 등,,22;28;6;,21;6;22
d_d012376,D01,d012376,22;25;,2022-11-12,2022-11-13,,,22;25;,22;25;2
d_d001241,D02,d001241,2;22;27;28;6;,2022-09-12,2022-09-16,대중교통 등,,2;22;27;28;6;,3;27;2
c_c002634,D02,c002634,10;23;4;9;,2022-09-23,2022-09-25,자가용,,10;23;4;9;,23;1;9
c_c001965,D02,c001965,22;,2022-09-16,2022-09-17,자가용,,22;,22;12;24
b_b015453,D02,b015453,2;26;9;,2022-10-28,2022-10-31,자가용,,2;26;9;,2;9;22
d_d001900,D01,d001900,28;,2022-09-26,2022-09-29,대중교통 등,,28;,22;28;6
d_d011470,D01,d011470,1;2;22;5;6;,2022-11-05,2022-11-08,자가용,,1;2;22;5;6;,6;22;1
c_c002687,D02,c002687,10;2;3;5;6;,2022-09-23,2022-09-26,자가용,,10;2;3;5;6;,11;9;1
d_d007155,D01,d007155,1;23;26;6;9;,2022-11-03,2022-11-06,대중교통 등,,1;23;26;6;9;,6;12;13
d_d000380,D01,d000380,10;5;7;8;9;,2022-09-07,2022-09-09,대중교통 등,,10;5;7;8;9;,5;7;22
d_d003991,D01,d003991,2;21;22;26;,2022-10-22,2022-10-25,대중교통 등,,2;21;22;26;,22;21;26
a_a008749,D02,a008749,21;3;4;,2022-10-22,2022-10-23,자가용,수도권 거주 40세 이상 3인 이상 친구,21;3;4;,3;21;1
d_d009967,D01,d009967,22;24;26;3;4;,2022-10-31,2022-11-03,대중교통 등,,22;24;26;3;4;,22;3;24
d_d007569,D01,d007569,10;5;7;,2022-10-29,2022-11-01,대중교통 등,39세 이하 3인 이상 친구,10;5;7;,5;21;7
d_d004538,D01,d004538,2;5;10;11;12;22;26;21;,2022-10-28,2022-10-31,자가용,,2;5;10;11;12;22;26;21;,2;11;10
d_d012412,D01,d012412,5;10;21;22;23;26;,2022-11-12,2022-11-13,,,5;10;21;22;23;26;,2;1;21
d_d003105,D01,d003105,22;23;3;4;7;,2022-10-11,2022-10-16,대중교통 등,,22;23;3;4;7;,22;23;26
b_b008495,D02,b008495,1;10;22;23;24;,2022-10-23,2022-10-25,자가용,,1;10;22;23;24;,1;22;23
c_c002006,D02,c002006,1;2;22;23;5;,2022-09-16,2022-09-18,자가용,호남권에 거주하는 39세 이하 부모 동반,1;2;22;23;5;,2;5;22
d_d002246,D01,d002246,21;22;24;25;5;,2022-09-29,2022-10-04,자가용,39세 이하 3인 이상 친구,21;22;24;25;5;,22;21;26
d_d000058,D01,d000058,5;,2022-08-20,2022-08-22,대중교통 등,39세 이하 3인 이상 친구,5;,5;21;1
d_d002064,D01,d002064,12;2;22;23;4;,2022-10-13,2022-10-17,대중교통 등,39세 이하 커플 여행,12;2;22;23;4;,2;23;22
d_d004048,D01,d004048,1;2;3;5;6;,2022-10-17,2022-10-19,자가용,,1;2;3;5;6;,21;6;3
d_d003542,D01,d003542,24;27;4;,2022-10-20,2022-10-23,자가용,,24;27;4;,6;27;3
d_d002763,D01,d002763,2;5;6;,2022-10-01,2022-10-04,자가용,39세 이하 3인 이상 친구,2;5;6;,11;1;6
d_d010067,D01,d010067,1;22;23;6;,2022-11-05,2022-11-08,자가용,39세 이하 부모 동반 여행,1;22;23;6;,4;6;23
d_d010126,D01,d010126,28;10;21;1;,2022-10-31,2022-11-03,대중교통 등,,28;10;21;1;,28;21;24
d_d010180,D01,d010180,11;22;26;,2022-11-05,2022-11-07,대중교통 등,,11;22;26;,5;22;26
a_a004804,D02,a004804,10;23;24;,2022-10-10,2022-10-12,자가용,,10;23;24;,23;21;24
b_b000836,D01,b000836,22;27;28;4;8;,2022-08-19,2022-08-22,대중교통 등,,22;27;28;4;8;,8;4;27
a_a003533,D02,a003533,21;22;,2022-10-15,2022-10-17,자가용,,21;22;,1;22;21
c_c005196,D02,c005196,22;26;4;9;,2022-10-09,2022-10-10,자가용,,22;26;4;9;,21;22;1
b_b000301,D02,b000301,22;28;5;8;,2022-08-13,2022-08-17,대중교통 등,,5;,5;3;28
d_d012330,D01,d012330,11;2;,2022-11-13,2022-11-14,,,11;2;,2;4;6
d_d005084,D01,d005084,1;24;2;7;23;22;26;12;,2022-10-18,2022-10-21,자가용,39세 이하 커플 여행,1;24;2;7;23;22;26;12;,24;22;26
a_a006433,D02,a006433,1;2;22;5;,2022-10-08,2022-10-09,자가용,수도권 거주 39세 이하 커플,1;2;22;5;,22;2;10
d_d002217,D01,d002217,12;3;4;,2022-10-08,2022-10-15,대중교통 등,,12;3;4;,3;9;4
d_d002924,D01,d002924,28;22;6;24;,2022-10-30,2022-10-31,자가용,,28;22;6;24;,6;26;22
c_c001522,D02,c001522,21;,2022-10-19,2022-10-22,자가용,,21;,2;6;25
a_a000343,D02,a000343,23;,2022-08-26,2022-08-28,자가용,,23;,23;10;24
d_d003686,D01,d003686,22;24;27;3;8;,2022-10-08,2022-10-11,자가용,,22;24;27;3;8;,3;24;13
d_d009822,D01,d009822,23;22;21;27;26;24;7;6;3;1;1;1;,2022-11-05,2022-11-07,대중교통 등,,23;22;21;27;26;24;7;6;3;1;1;1;,22;1;23
d_d004426,D01,d004426,1;10;2;28;6;,2022-10-28,2022-10-31,자가용,,1;10;2;28;6;,23;1;6
d_d009090,D01,d009090,1;10;2;22;5;,2022-10-29,2022-11-01,대중교통 등,39세 이하 커플 여행,1;10;2;22;5;,2;22;1
d_d010562,D01,d010562,2;3;4;6;,2022-10-31,2022-11-05,자가용,,2;3;4;6;,3;6;2
